RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,male_60_61,male_62_64,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,gini_index,poverty,walked_to_work,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
53209-2016-09,Milwaukee,WI,672.0,45295.0,33.7,34241.0,31.0,1147.0,8.0,6209.0,398.0,480.0,12716.0,29878.0,88.0,534.0,1166.0,345.0,455.0,579.0,165.0,3244.0,24.0,0.4528,11150.0,282.0,42071.0,39439.0,767.0,176.0,0.5514736725907937,9373.0,12039.0,5435.0,0.1444354876950069,1.2569625761531766,0.24635163307852675,0.10493398193189717,0.4923059940390772,0.13255326194944253,0.08859697538359643,0.19648967877249146,0.12290076335877866,0.002892151451595099,0.6575339441439453,0.011789380726349486,0.035853847002980464,0.08756080611535788,0.021338138365972783,0.12734297383817195,0.03490451484711337,0.0010496183206106869,786.0,0.0,0.0,0.0,0.0
1876-2016-09,Tewksbury,MA,2129.0,28634.0,42.5,89498.0,45.0,336.0,24.0,810.0,381.0,472.0,26743.0,507.0,61.0,866.0,984.0,522.0,969.0,1354.0,343.0,2013.0,13.0,0.3756,723.0,72.0,27085.0,24566.0,395.0,97.0,0.5224558217503666,5417.0,9142.0,741.0,0.06622353520433284,1.9801621363853124,0.19078360002747066,0.21035643156376624,0.5674373122860935,0.2298665921631627,0.1449325976112314,0.2331494028078508,0.0411522633744856,0.003946357477125096,0.017706223370817908,0.030243766152126837,0.02266536285534679,0.025753725705652084,0.021356474643032988,0.0,0.063421107773975,0.0043895747599451305,706.0,1.0,0.0,0.0,0.0
2148-2016-09,Malden,MA,2254.0,59402.0,35.5,54229.0,38.0,4097.0,94.0,12481.0,632.0,707.0,33358.0,8851.0,123.0,13237.0,1160.0,1170.0,2110.0,3587.0,638.0,2659.0,12.0,0.4299,8642.0,748.0,55950.0,27111.0,4556.0,1896.0,0.5143597858657958,11744.0,8887.0,8797.0,0.11767529863601706,1.2885339168490153,0.1101847144551771,0.2993729876292154,0.5755025083330527,0.17622302279384533,0.1533450052186795,0.20379785192417765,0.059941580614637766,0.01422511026564762,0.14494461465943909,0.22283761489512136,0.09752196895727416,0.2874089137434333,0.01892067436672221,0.03883707619272078,0.107235446617959,0.00160447607685029,931.0,0.0,3.0,0.0,1.0
60657-2016-09,Chicago,IL,1841.0,68280.0,30.4,75685.0,1065.0,14001.0,78.0,16673.0,327.0,550.0,59488.0,1850.0,155.0,4587.0,1319.0,2958.0,3790.0,3799.0,1285.0,1952.0,0.0,0.5084,7865.0,2793.0,64649.0,54245.0,3608.0,963.0,0.5121851200937317,12820.0,4208.0,14698.0,0.0469029996104402,0.8534256579481215,0.0891154954555531,0.24910219463533584,0.6993555946104276,0.3829232571763328,0.40746924428822495,0.041183362624487414,0.08704563413670488,0.003163444639718805,0.026698886936145284,0.06646162858816637,0.06892208553016989,0.5038572378630015,0.06340085703155435,0.17056239015817226,0.11262448740480376,0.0010371394705649944,1842.0,2.0,4.0,1.0,0.0
1757-2016-09,Milford,MA,1473.0,28120.0,37.5,69422.0,30.0,217.0,19.0,3378.0,193.0,345.0,24915.0,465.0,220.0,704.0,1694.0,354.0,947.0,1177.0,437.0,1881.0,12.0,0.4136,2814.0,197.0,26040.0,19443.0,2103.0,969.0,0.5083926031294452,6561.0,6807.0,3126.0,0.07404414050357476,1.7413890991672976,0.2811875535255495,0.19447616328860973,0.5649004267425319,0.22016358463726884,0.1469416785206259,0.2021692745376956,0.05583847047261682,0.02240398293029872,0.015540540540540541,0.02503556187766714,0.09452347083926033,0.02105338281473023,0.02834939384519739,0.0694167852062589,0.07916073968705548,0.0032162958992227285,765.0,1.0,0.0,0.0,0.0
60647-2016-09,Chicago,IL,1636.0,87237.0,31.4,51066.0,320.0,2411.0,64.0,27594.0,603.0,937.0,67135.0,6076.0,181.0,2430.0,900.0,1211.0,2349.0,3703.0,760.0,1396.0,6.0,0.4835,19133.0,1997.0,81315.0,43766.0,34435.0,18918.0,0.4892534131159944,18716.0,6552.0,24401.0,0.08552187252764216,1.1314182179490926,0.12883116883116882,0.2286391869000565,0.618648050712427,0.2141637149374692,0.15829292616664947,0.16052821623852265,0.1160622029344906,0.0010660614188933595,0.06310395818288111,0.026766165732430045,0.5188738723248163,0.3177865612648221,0.0462728904154526,0.13103385031580636,0.03328862753189587,0.00036164496796858847,1752.0,0.0,3.0,0.0,0.0
84106-2016-09,Salt Lake City,UT,1159.0,33006.0,33.7,53229.0,56.0,484.0,70.0,2700.0,178.0,266.0,28723.0,901.0,532.0,1289.0,1714.0,163.0,185.0,339.0,278.0,2105.0,44.0,0.4111,3313.0,224.0,30451.0,26009.0,1547.0,512.0,0.5186632733442404,8576.0,9425.0,2666.0,0.06369528261793456,1.6787061212648682,0.3222282905516111,0.06268584258753565,0.5682603163061262,0.22347451978428165,0.15578985638974732,0.1430951948130643,0.04825015531165873,0.014815488093073988,0.025025752893413317,0.03899291037993092,0.07319881233715082,0.04217488925298865,0.04430514237144072,0.04608253044900927,0.12909773980488395,0.001449575481466142,1091.0,1.0,3.0,0.0,0.0
30346-2016-09,Dunwoody,GA,1587.0,4750.0,31.4,58724.0,0.0,2234.0,0.0,0.0,0.0,16.0,2400.0,1060.0,0.0,1210.0,317.0,38.0,26.0,152.0,0.0,48.0,10.0,0.4604,923.0,95.0,4448.0,2978.0,179.0,48.0,0.5410526315789473,881.0,52.0,205.0,0.10686528497409327,1.3937748823742309,0.30892790437056405,0.08292865147553231,0.7330526315789474,0.44084210526315787,0.22147368421052632,0.048,0.17473118279569896,0.0,0.15831578947368422,0.25473684210526315,0.09284210526315788,0.05864774000747105,0.015220207253886009,0.09157894736842104,0.3265263157894737,0.0,723.0,1.0,1.0,0.0,0.0
85032-2016-09,Phoenix,AZ,1140.0,70382.0,34.7,48345.0,85.0,1576.0,1606.0,103.0,783.0,724.0,60274.0,1944.0,302.0,1960.0,2569.0,889.0,1103.0,840.0,299.0,3182.0,0.0,0.4283,12563.0,1021.0,65464.0,46569.0,14135.0,6967.0,0.4947003495211844,17009.0,18214.0,3523.0,0.08582594702291246,1.6232657019245114,0.2292535509217286,0.08637050468419462,0.5522292631638771,0.17646557358415504,0.09569208036145606,0.16367821317950612,0.1141507252122774,0.003012133784206189,0.025489471739933503,0.027848029325679858,0.25674178056889546,0.031157449380477487,0.05274719660783162,0.15462760364866016,0.07618425165525276,0.0023788284269997025,1568.0,1.0,0.0,2.0,0.0
29205-2016-09,Columbia,SC,766.0,26321.0,30.2,41510.0,59.0,660.0,51.0,2994.0,279.0,366.0,18867.0,5411.0,29.0,607.0,2709.0,67.0,142.0,81.0,111.0,1884.0,54.0,0.5427,6035.0,616.0,25332.0,23338.0,961.0,608.0,0.4716386155541203,3219.0,8472.0,3708.0,0.08044356131017243,1.5849445733436454,0.4933590561697707,0.03079320323514135,0.4981573648417613,0.19740891303521899,0.2751415219786482,0.08491318718893659,0.12027517387360145,0.002241556171877968,0.20474146119068426,0.02306143383610045,0.0428555146081076,0.015656303331601992,0.03897186077815525,0.12157592796626268,0.16374757797956005,0.0024947081947384337,670.0,0.0,0.0,1.0,0.0
