RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,male_60_61,male_62_64,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,gini_index,poverty,walked_to_work,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
78749-2016-09,Austin,TX,1259.0,34391.0,34.9,80956.0,30.0,563.0,0.0,22.0,471.0,375.0,28560.0,1292.0,146.0,2391.0,1324.0,525.0,608.0,301.0,206.0,1927.0,42.0,0.3615,2178.0,166.0,31985.0,26099.0,3265.0,778.0,0.5168794161263122,8019.0,10562.0,897.0,0.03754449266175825,1.835134168157424,0.2204934429873305,0.0922427206045788,0.6117879677822686,0.3074641621354424,0.2484370910994156,0.08243435782617545,0.055743243243243236,0.004565147858451339,0.037567968363816116,0.06952400337297547,0.198569393155186,0.005723494109802179,0.07469891267248525,0.10488209124480244,0.08150388182954843,0.0010135135135135136,543.0,0.0,0.0,0.0,0.0
1040-2016-09,Holyoke,MA,1017.0,39996.0,36.8,34961.0,11.0,1345.0,12.0,7728.0,407.0,547.0,33524.0,1772.0,219.0,516.0,1705.0,216.0,151.0,420.0,160.0,2343.0,60.0,0.4827,11918.0,706.0,37045.0,21182.0,13881.0,5683.0,0.5266026602660266,8765.0,6669.0,6577.0,0.12765597700501607,1.1996631736526946,0.35367592152603355,0.07474034349331342,0.5167766776677668,0.1404890489048905,0.07703270327032702,0.17546754675467546,0.058104694201280775,0.005825582558255825,0.03777877787778778,0.012901290129012902,0.451070107010701,0.036182200801031836,0.0191624866144395,0.07903290329032903,0.05573057305730573,0.0021150343693085013,894.0,2.0,0.0,1.0,0.0
94530-2016-09,El Cerrito,CA,2542.0,23913.0,44.6,78915.0,156.0,208.0,23.0,1476.0,230.0,401.0,14418.0,1730.0,38.0,5494.0,594.0,548.0,490.0,1078.0,381.0,2195.0,0.0,0.4192,1754.0,263.0,22564.0,14904.0,1904.0,759.0,0.5242754986827248,4662.0,7887.0,1891.0,0.08938751644496419,1.5977834444880346,0.14926699244780098,0.2650377609951133,0.5885083427424413,0.2754150462091749,0.36662066658303016,0.09062016476393593,0.05470053773409976,0.003429097143812989,0.06866557939196254,0.22974950863547025,0.1247856814285117,0.24726788094180366,0.06811869609706184,0.022080040145527537,0.08631288420524401,0.00046356387910254034,515.0,0.0,2.0,0.0,0.0
96753-2016-09,Kihei,HI,2882.0,28097.0,40.9,61068.0,1025.0,2657.0,0.0,120.0,469.0,549.0,16536.0,160.0,79.0,3979.0,2071.0,219.0,604.0,512.0,52.0,1593.0,65.0,0.4532,3478.0,303.0,26256.0,21898.0,1042.0,487.0,0.4877389045093782,5796.0,7367.0,4219.0,0.06647062427249892,1.727045596502186,0.38337962615419263,0.0828015914721117,0.609353311741467,0.22657223191088016,0.10524255258568532,0.1867459159340855,0.3904932832979823,0.0040573726732391355,0.005338648254262021,0.13524575577463785,0.13150870199665446,0.028226109150964643,0.08460454573301476,0.10275118340036304,0.1661387336726341,0.003480720073965301,866.0,0.0,0.0,0.0,0.0
90814-2016-09,Long Beach,CA,1742.0,18633.0,38.0,56499.0,319.0,792.0,13.0,3032.0,181.0,274.0,13629.0,1554.0,54.0,1265.0,742.0,272.0,462.0,841.0,299.0,900.0,0.0,0.4847,2398.0,312.0,17738.0,13386.0,2908.0,593.0,0.4953040304835507,2997.0,3575.0,2955.0,0.07754601226993865,1.54099094061067,0.2669841578384683,0.21868014384293907,0.6517469006601191,0.30864595073257123,0.23817957387430905,0.07679922717758815,0.07414310862586725,0.004937476520152417,0.07969731122202542,0.06697794236032845,0.2335641066924274,0.07056079307998832,0.05169734151329243,0.09526109590511457,0.09220200719154187,0.0,273.0,0.0,0.0,0.0,0.0
33602-2016-09,Tampa,FL,1624.0,11484.0,37.1,65148.0,75.0,3504.0,65.0,605.0,108.0,114.0,8296.0,2253.0,12.0,518.0,1088.0,159.0,120.0,170.0,97.0,536.0,289.0,0.5406,1999.0,267.0,11039.0,9036.0,1383.0,604.0,0.4835423197492163,1330.0,2113.0,694.0,0.04215923657598632,1.301390268123138,0.3417030567685589,0.07407985028072364,0.6813827934517591,0.30250783699059564,0.2877917102055033,0.1391501219087426,0.18417499324871725,0.0010449320794148381,0.1911354928596308,0.045106234761407175,0.1448972483455242,0.02698066126013724,0.06566016237003276,0.1694531522117729,0.15020898641588296,0.004590872265730489,1403.0,0.0,7.0,0.0,0.0
11232-2016-09,New York,NY,2257.0,28703.0,30.9,40565.0,87.0,403.0,0.0,6867.0,167.0,217.0,13133.0,1795.0,44.0,3654.0,426.0,391.0,1036.0,1987.0,711.0,506.0,8.0,0.4484,7080.0,1732.0,26937.0,7699.0,13911.0,7933.0,0.4431940912099781,5946.0,707.0,6226.0,0.10656873614190687,0.3731141634766945,0.10581794410851446,0.4387971890831836,0.5838762498693516,0.11650350137616278,0.0970281852071212,0.15684771626659233,0.06887514414508858,0.005957565411281051,0.04017001707138627,0.12653729575305714,0.5896944570253979,0.6836901454486027,0.024043791574279383,0.10005922725847473,0.03626798592481622,0.000943495125275186,1283.0,0.0,3.0,0.0,0.0
95404-2016-09,Santa Rosa,CA,1908.0,38817.0,39.2,66049.0,835.0,652.0,166.0,2154.0,608.0,844.0,32165.0,817.0,172.0,1225.0,2249.0,190.0,391.0,1106.0,519.0,2417.0,15.0,0.4678,4551.0,510.0,36439.0,29121.0,5463.0,2945.0,0.4975654996522143,7918.0,12717.0,1857.0,0.09277119938884644,1.8506309554468197,0.3955673758865248,0.13439716312056738,0.5567921271607801,0.2327330808666306,0.17755107298348666,0.11703635005281192,0.0629260935143288,0.003941571991653142,0.02104747919725893,0.03140376639101425,0.21681222144936496,0.024349881796690308,0.06885026737967914,0.08230929747275678,0.07025272432181777,0.0,1147.0,1.0,0.0,0.0,0.0
2142-2016-09,Cambridge,MA,3130.0,2805.0,29.0,89792.0,133.0,1356.0,0.0,97.0,0.0,12.0,1811.0,104.0,1.0,712.0,184.0,8.0,44.0,38.0,0.0,82.0,116.0,0.5591,588.0,487.0,2550.0,1216.0,392.0,10.0,0.4438502673796792,758.0,46.0,108.0,0.015479876160990712,0.8494236311239193,0.3344316309719934,0.0914332784184514,0.6149732620320856,0.2720142602495544,0.5016042780748663,0.0142602495543672,0.12649465072372562,0.00035650623885917997,0.037076648841354726,0.2538324420677362,0.14652406417112301,0.2298187808896211,0.047987616099071206,0.060962566844919776,0.1910873440285205,0.005034612964128383,545.0,0.0,1.0,0.0,0.0
32224-2016-09,Jacksonville,FL,1190.0,37153.0,32.0,60830.0,104.0,701.0,477.0,15.0,449.0,631.0,30917.0,3051.0,134.0,1943.0,1425.0,263.0,363.0,524.0,131.0,2192.0,468.0,0.4432,3421.0,450.0,34382.0,29413.0,1913.0,698.0,0.5301052404920195,9232.0,8707.0,1545.0,0.06619964973730298,1.6404027601746234,0.271725688589095,0.061832490163012926,0.5182354049471106,0.2452022716873469,0.13280219632331172,0.1081743062471402,0.11409144781984905,0.005113988103248728,0.08115091648049956,0.05078997658331763,0.07151508626490459,0.0064080944350758855,0.047235426569927436,0.133502005221651,0.09458186418324227,0.006799326305283513,784.0,1.0,0.0,1.0,0.0
