RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,male_60_61,male_62_64,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,gini_index,poverty,walked_to_work,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
98902-2018-09,Yakima,WA,986.0,46904.0,32.1,38142.0,0.0,606.0,590.0,3487.0,339.0,546.0,32373.0,555.0,895.0,338.0,3659.0,182.0,264.0,214.0,387.0,2144.0,51.0,0.4304,10672.0,500.0,42743.0,25490.0,16638.0,8025.0,0.5005756438683268,11794.0,11215.0,3926.0,0.11132411948283548,1.718189009919065,0.4882810433310407,0.0521665520342839,0.4842444141224629,0.0965802490192734,0.06952498720791404,0.16655295923588606,0.08020821672450465,0.013367729831144466,0.010041787480811871,0.007206208425720621,0.4697253965546648,0.011375059520660282,0.026972804279982162,0.13269657172096194,0.07549462732389561,0.00022388895108026415,1134.0,2.0,0.0,0.0,0.0
95762-2018-09,El Dorado Hills,CA,2006.0,40603.0,41.4,117700.0,507.0,247.0,110.0,18.0,501.0,861.0,32963.0,1021.0,43.0,4109.0,1187.0,1005.0,1081.0,681.0,725.0,3100.0,11.0,0.4062,2137.0,184.0,38191.0,31653.0,1164.0,307.0,0.4907026574391055,9258.0,12790.0,302.0,0.07369300673734787,2.1838118923807373,0.2004734039055822,0.2049444407916365,0.5125729625889712,0.2872447848681132,0.197596236731276,0.08105312415338768,0.037292316621925566,0.0013792084328744182,0.021279215821491018,0.1004851858237076,0.07984631677462256,0.01887040568084687,0.10811093121637856,0.05644903085978869,0.05699086274413221,0.008416164840745845,1081.0,0.0,0.0,1.0,0.0
53590-2018-09,Sun Prairie,WI,1063.0,37430.0,34.6,70127.0,21.0,545.0,7.0,753.0,251.0,438.0,33121.0,1714.0,36.0,1171.0,2338.0,663.0,647.0,323.0,248.0,2199.0,29.0,0.3720000000000001,3382.0,345.0,34562.0,31993.0,1227.0,559.0,0.5210259150414106,9973.0,10202.0,2437.0,0.05522914218566392,1.8511683390639253,0.33853522036269706,0.07076360114082764,0.5538338231365215,0.2629174458990115,0.15436815388725622,0.13633449104995993,0.05012330867159901,0.0013625434143734972,0.04507079882447235,0.031285065455516965,0.042185412770504936,0.002636818597643007,0.04629847238542889,0.044963932674325406,0.1057707721079348,0.012864093847897088,791.0,0.0,0.0,0.0,0.0
90278-2018-09,Redondo Beach,CA,2530.0,40839.0,38.8,104934.0,460.0,588.0,131.0,353.0,382.0,576.0,29122.0,1397.0,79.0,5507.0,1707.0,613.0,985.0,1617.0,462.0,2092.0,82.0,0.4214,2234.0,248.0,37803.0,27534.0,4825.0,1511.0,0.5118146869414041,11400.0,10451.0,4199.0,0.07632339997485225,1.8742787536863703,0.2358843102124392,0.19667263885334016,0.6187222997624819,0.2984157300619506,0.2331349935111046,0.08817551849947354,0.05581113801452785,0.006611327407625064,0.033938147359142,0.1311981194446485,0.18808002154803008,0.016176094189915537,0.06429439624460373,0.042581845784666617,0.0793849016871128,0.006355932203389831,1092.0,0.0,1.0,0.0,0.0
92691-2018-09,Mission Viejo,CA,2136.0,48129.0,42.9,93713.0,115.0,731.0,0.0,15.0,517.0,870.0,39267.0,747.0,147.0,3582.0,1392.0,580.0,823.0,1513.0,486.0,2717.0,72.0,0.3855,3042.0,171.0,45840.0,35069.0,5385.0,2153.0,0.5131833198279624,7549.0,13982.0,1373.0,0.07682390414075535,2.103727514372257,0.20468367069075066,0.15712081328855404,0.5423341436555923,0.2619210870784766,0.16459930603170644,0.12771925450352178,0.028408408408408407,0.0037815038750025967,0.01394169835234474,0.07330299819235804,0.18969851856469072,0.020241445039484437,0.0669649628393751,0.026615969581749048,0.08269442539840845,0.003123123123123123,1762.0,2.0,0.0,0.0,0.0
60609-2018-09,Chicago,IL,1318.0,62405.0,30.7,32379.0,1.0,1098.0,51.0,14607.0,523.0,825.0,29806.0,16495.0,332.0,3295.0,1021.0,562.0,1240.0,2487.0,668.0,2160.0,0.0,0.4618,20303.0,1089.0,57148.0,28209.0,25366.0,12601.0,0.5085650188286195,16145.0,6485.0,15919.0,0.22485879597740732,1.115716389648643,0.14796132828919714,0.2678996777357433,0.5056646102075154,0.06602035093341879,0.04119862190529605,0.19910263600673025,0.2147046674927716,0.0009614614213604679,0.2618860668215688,0.05280025638971236,0.5100072109606602,0.2360468917845967,0.018322082931533267,0.10632160884544507,0.02174505247976925,0.001734820322180917,972.0,0.0,4.0,0.0,0.0
6484-2018-09,Shelton,CT,1435.0,40472.0,45.6,88369.0,87.0,428.0,262.0,2008.0,618.0,917.0,37924.0,418.0,23.0,1350.0,1880.0,363.0,918.0,1019.0,480.0,3326.0,13.0,0.4104,1998.0,95.0,38954.0,32466.0,1702.0,463.0,0.537210911247282,5183.0,12821.0,2360.0,0.08585614482182873,1.9888713288555249,0.2549108264255212,0.14971112785732227,0.5383722079462344,0.21333267444158924,0.2046105949792449,0.20592014232061676,0.06259259259259259,0.0003212097252421428,0.010328128088555051,0.03335639454437636,0.0546303617315675,0.016980658126098967,0.026670767608418647,0.028266455821308562,0.06140047440205574,0.0051234567901234564,1117.0,0.0,0.0,1.0,0.0
45211-2018-09,Cincinnati,OH,759.0,37317.0,35.7,39409.0,21.0,41.0,13.0,4823.0,340.0,573.0,22851.0,13117.0,73.0,151.0,851.0,583.0,514.0,234.0,263.0,2550.0,0.0,0.4559,8234.0,422.0,34218.0,32106.0,672.0,258.0,0.5223624621486186,9125.0,9841.0,4452.0,0.14375858734924432,1.4368388301182329,0.2156935434043868,0.06839666357738647,0.5525095800841441,0.15596109011978454,0.08583219444221132,0.2418468794383257,0.1363001182414275,0.0029209207599753466,0.347053621673768,0.0040464131629016275,0.01889219390626256,0.046957059005251774,0.02203450206096382,0.11396950451536833,0.07457727041294852,0.002526066860152639,549.0,1.0,0.0,0.0,0.0
11205-2018-09,New York,NY,2870.0,43320.0,29.4,47050.0,873.0,5136.0,0.0,8379.0,160.0,394.0,20101.0,13928.0,49.0,2824.0,758.0,972.0,1874.0,1969.0,588.0,1700.0,0.0,0.5263,14264.0,2065.0,39081.0,22819.0,7102.0,3055.0,0.5181671283471837,12958.0,1005.0,6686.0,0.1251410304625799,0.3685884691848906,0.11579134980988595,0.3682271863117871,0.5161588180978762,0.15810249307479224,0.1959372114496768,0.12555401662049862,0.10841949778434268,0.0025854108956602033,0.2921283471837489,0.06435826408125576,0.21424284395198526,0.6645674904942965,0.06271154569386987,0.09055863342566944,0.033818097876269625,0.013234859675036929,1374.0,0.0,1.0,2.0,0.0
98102-2018-09,Seattle,WA,2056.0,22776.0,33.3,68109.0,580.0,2119.0,10.0,5588.0,217.0,383.0,18508.0,593.0,188.0,2033.0,812.0,476.0,480.0,609.0,169.0,1044.0,14.0,0.4709,2099.0,3106.0,22223.0,19025.0,756.0,263.0,0.4552599227256762,1965.0,2787.0,3208.0,0.04635507880910683,1.0111921796415668,0.17067604243770046,0.13193930421909694,0.7393308746048473,0.41258342114506497,0.3968651211801897,0.0390762205830699,0.03939847577572129,0.0076835265191429565,0.02603617843343871,0.08864594309799789,0.059229012996136275,0.2714655810510733,0.05379816112084063,0.16635932560590094,0.13597646645591852,0.02470059880239521,813.0,0.0,1.0,0.0,0.0
