,RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
506,10306-2020-01,New York,NY,1937.0,53142.0,43.9,79569.0,273.0,1346.0,0.0,1152.0,26.0,0.4418,5191.0,512.0,0.5313311505024274,8454.0,13809.0,5517.0,0.0436854036193184,1.5047733293347327,0.12403714035891245,0.4291959861764583,0.5497534906476986,0.1786910541567875,0.1602122614880885,0.2524933197847277,0.07349263684356766,0.002389823491776749,0.031067705393097736,0.05833427420872379,0.14705882352941174,0.284132073114877,0.021477696238521537,0.033419893869255965,0.007771630725226752,0.0010651106788922848,,0.0,5.0,0.0,0.0
507,98003-2020-01,Federal Way,WA,1544.0,49860.0,34.9,57185.0,19.0,1601.0,1548.0,237.0,28.0,0.4405,8238.0,538.0,0.5093261131167268,11224.0,8091.0,4525.0,0.06553585196607556,1.717832713954866,0.14607734806629835,0.28777900552486185,0.5227236261532291,0.19821500200561573,0.07729643000401124,0.1748094665062174,0.0415053430385628,0.009185720016044924,0.14195748094665062,0.12117930204572805,0.2181107099879663,0.10351381215469613,0.03777949113338473,0.050040112314480543,0.11738868832731647,0.030044912498064118,,1.0,0.0,0.0,0.0
508,33125-2020-01,Miami,FL,1757.0,61492.0,42.5,27518.0,9.0,3551.0,129.0,3702.0,5.0,0.4716,16975.0,562.0,0.5101639237624407,10055.0,10167.0,3681.0,0.04466561057924099,1.256305939788446,0.07540448270743655,0.19274157636930386,0.5579750211409614,0.11863331815520718,0.03953359786638912,0.2810284264619788,0.07454819277108432,0.0007805893449554412,0.029402198659988287,0.006943992714499447,0.9290639432771742,0.09124981445747364,0.015290309249948343,0.030426722175242307,0.01710791647694009,0.006909992912827782,,1.0,0.0,2.0,0.0
509,1844-2020-01,Methuen,MA,1757.0,50019.0,39.7,74912.0,39.0,606.0,32.0,926.0,64.0,0.425,4597.0,271.0,0.5146844199204302,7895.0,12464.0,3347.0,0.06587255537731664,1.902272213429799,0.2373978726684137,0.2149683983351318,0.5295387752653992,0.18762870109358445,0.13458885623463085,0.20316279813670804,0.0424852519348379,0.003418700893660409,0.024210799896039505,0.037665687038925214,0.28956996341390273,0.01572375520271312,0.029864500494897438,0.033367320418241066,0.06747435974329755,0.0042755858635059795,,1.0,0.0,0.0,0.0
510,27615-2020-01,Raleigh,NC,1184.0,43461.0,43.2,82214.0,133.0,722.0,106.0,81.0,7.0,0.4647,2412.0,168.0,0.5127815742849912,8100.0,14654.0,1834.0,0.040068378919279515,1.8351732850002749,0.2146092595241501,0.09011586325275353,0.5477554589171901,0.3404201467982789,0.2573801799314328,0.09256574860219507,0.08447729672650475,0.003566415867099238,0.1289892087158602,0.02307816203032604,0.05243781781367203,0.00977447194011348,0.07605070046697797,0.06481673224270035,0.05828213800878949,0.01347614019208528,,0.0,0.0,0.0,0.0
511,92103-2020-01,San Diego,CA,2212.0,34878.0,39.9,77551.0,997.0,2678.0,0.0,1303.0,329.0,0.4901,3017.0,932.0,0.5024370663455473,5067.0,7023.0,4307.0,0.03627150286704894,1.4885748978915996,0.2964753587024329,0.10308796007485964,0.660014909111761,0.3511382533402145,0.3623200871609611,0.07933367738975859,0.08254000405104314,0.007913297780836057,0.04441195022650381,0.06350708182808648,0.16961981765009462,0.05079018506966105,0.10548073076410187,0.10966798554963014,0.07101898044612649,0.010026331780433462,,3.0,0.0,0.0,0.0
512,75063-2020-01,Irving,TX,1298.0,38952.0,33.5,91431.0,0.0,1146.0,12.0,32.0,56.0,0.4108,2479.0,197.0,0.512605257753132,10236.0,7201.0,3270.0,0.036428824362606235,1.5923410677230712,0.20869696816828934,0.0977147757655249,0.6373742041486958,0.30398952556993225,0.4130468268638324,0.05080612035325529,0.0488067468150009,0.00952454302731567,0.15683405216676935,0.4621072088724584,0.10263914561511604,0.02032991979014276,0.07980701133144476,0.0906757034298624,0.13526904908605464,0.02775285603205933,,1.0,1.0,4.0,0.0
513,73071-2020-01,Norman,OK,893.0,42656.0,28.5,49467.0,0.0,563.0,377.0,352.0,197.0,0.4443,9955.0,409.0,0.4852775693923481,8858.0,12035.0,3828.0,0.04980560671168406,1.7732859556125125,0.3105910887531441,0.13290513833992096,0.4813859714928732,0.1690735183795949,0.1588522130532633,0.11550543885971493,0.08754119272881898,0.036548199549887465,0.06784508627156789,0.05490435108777194,0.09337490622655664,0.011049227452389508,0.02128094945774504,0.14126969242310575,0.1261487246811703,0.02444987775061125,,1.0,0.0,0.0,0.0
514,32837-2020-01,Orlando,FL,1703.0,54051.0,36.4,60460.0,0.0,1820.0,38.0,0.0,17.0,0.4052,5830.0,170.0,0.4969565780466597,9565.0,13280.0,2241.0,0.04820102016363698,1.8372161086396628,0.156954306884841,0.13001698054955232,0.5610256979519342,0.23056002664150524,0.1294333129821835,0.1581654363471536,0.15763522508752034,0.01846404321844184,0.09106214501119313,0.11074725722003294,0.4740892860446616,0.0204924359370176,0.04854335695457191,0.013931287117722152,0.10227377846848347,0.00685370543858784,,0.0,1.0,1.0,0.0
515,85224-2020-01,Chandler,AZ,1295.0,44333.0,34.6,69846.0,20.0,1116.0,102.0,88.0,13.0,0.3975,3971.0,367.0,0.5173347168023821,8781.0,11916.0,3268.0,0.040438470775070685,1.7222947318462267,0.3067014795474325,0.10430809399477807,0.5859292175129136,0.249114654997406,0.1630388198407507,0.12976789299167665,0.0695517774343122,0.01718809915864029,0.041955202670696766,0.08686531477680283,0.2087835246881556,0.013359442993907743,0.052329860169655656,0.07071481740464214,0.10935420567071932,0.0076727754471185685,,2.0,0.0,0.0,0.0
