RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later
2740-2020-01,New Bedford,MA,1201.0,43604.0,38.2,40705.0,13.0,1597.0,9.0,1777.0,10.0,0.4806,8592.0,1052.0,0.5297679112008072,7344.0,6458.0,11200.0,0.06631885692799398,1.241490466043818,0.35213176274366725,0.16631919107682686,0.5083478579946794,0.1414090450417393,0.08320337583707917,0.21867259884414275,0.09274313472786755,0.09501421887900192,0.07776809467021374,0.02231446656270067,0.18596917713971195,0.026634003961221724,0.023500658018424516,0.08744610586184753,0.04903219888083662,0.003073262615247348
2149-2020-01,Everett,MA,2278.0,45596.0,34.3,60264.0,9.0,738.0,20.0,967.0,0.0,0.4269,6034.0,802.0,0.5091894025791737,11093.0,4088.0,10442.0,0.0548251638475727,1.2924504321301475,0.15056980683768206,0.33937607251287016,0.5588867444512676,0.1311079919291166,0.08290200894815335,0.23313448548118257,0.06283127866118754,0.01083428370909729,0.17433546802351083,0.06932625668918325,0.26609790332485306,0.2469749636995644,0.029080491346493466,0.042832704623212564,0.08033599438547241,0.011911142874158776
11561-2020-01,Long Beach,NY,2384.0,37662.0,45.5,96163.0,227.0,4694.0,13.0,1734.0,49.0,0.4579,2342.0,740.0,0.5238436620466252,5502.0,8052.0,4448.0,0.04696032034947215,1.4730598738839982,0.1619252571908461,0.43339281965148013,0.5720885773458658,0.2521374329562955,0.33755509532154426,0.1641442302586161,0.1278518921862238,0.005974191492751314,0.05852052466677288,0.029977165312516596,0.12707769104136796,0.21966197774511861,0.05060065526028395,0.04973182518188094,0.08825872231957942,0.01197930846719303
53214-2020-01,West Allis,WI,867.0,35460.0,36.3,45721.0,0.0,1070.0,459.0,2502.0,0.0,0.4125,5296.0,358.0,0.5014664410603497,6734.0,8412.0,5580.0,0.0670319541171651,1.4307604994324632,0.2431740614334471,0.08577929465301479,0.59639029892837,0.19478285391990977,0.08257191201353638,0.24805414551607444,0.0638172265186847,0.011900733220530174,0.06150592216582064,0.023152848279751833,0.1820078962210942,0.047212741751990896,0.02007374027038099,0.03104906937394247,0.1044839255499154,0.0014168486923667276
14701-2020-01,Jamestown,NY,657.0,39731.0,40.9,38891.0,0.0,395.0,473.0,1813.0,11.0,0.449,9813.0,864.0,0.5088469960484256,7609.0,12089.0,5804.0,0.06650059568937507,1.3920380273321449,0.5802641143687909,0.053549794039253695,0.5133271249150537,0.18207445068082856,0.10387354962120258,0.2459037023986308,0.15192743764172337,0.0038508972842364905,0.03420502881880647,0.004555636656515064,0.06868691953386524,0.006724012599951539,0.021661431820643343,0.06201706476051446,0.05939946137776547,0.0019148400100781054
12603-2020-01,Town of Poughkeepsie,NY,1518.0,42589.0,42.0,83636.0,23.0,389.0,236.0,935.0,6.0,0.4131,2003.0,1005.0,0.5157904623259527,6958.0,12669.0,2884.0,0.06360010404924998,1.827295703454086,0.32157645298079324,0.2146669992516837,0.5069618915682453,0.21301274977106766,0.2547136584564089,0.15076662988095518,0.08524512419230541,0.004461245861607457,0.12348258940101904,0.045152504167742843,0.10547324426495104,0.049787977051633826,0.047342408740136996,0.007396276033717627,0.08607856488764705,0.002134092121643251
32955-2020-01,Rockledge,FL,1243.0,39127.0,45.8,68946.0,74.0,435.0,672.0,135.0,119.0,0.4072,3180.0,63.0,0.5153219004779308,6908.0,13396.0,1442.0,0.06117134353741496,1.7660710753609812,0.24591458599113056,0.1067371362614665,0.5288164183300534,0.24765507194520409,0.17351189715541698,0.1885143251463184,0.14417108678478727,0.0030669358754824034,0.1053236895238582,0.02105962634497917,0.10486364914253585,0.0013972419658586962,0.052189625850340135,0.023615406241214505,0.11046080711529123,0.015743144114659744
60651-2020-01,Chicago,IL,1332.0,63218.0,33.0,38083.0,19.0,504.0,71.0,2270.0,0.0,0.4586,16159.0,414.0,0.539150242019678,12982.0,6290.0,15233.0,0.12128922815945717,1.2269373632524296,0.08307139649753031,0.3767808303057517,0.504919484956816,0.10267645290898161,0.0510930431206302,0.20152488215381695,0.13400017625804178,0.0073871365750261,0.5120377107785757,0.004840393558796546,0.4248789901610301,0.23264073151814507,0.0324342663273961,0.12180075295010914,0.013334809706096365,0.0009694192297523574
44122-2020-01,Shaker Heights,OH,1010.0,33342.0,44.2,80475.0,45.0,2340.0,25.0,1213.0,0.0,0.5482,2730.0,119.0,0.54426849019255,6928.0,9601.0,1250.0,0.04599268579929337,1.6193528923749905,0.2469153311587009,0.07878315132605304,0.4811049127226921,0.20487673204966708,0.3648551376642073,0.1137004378861496,0.1006579393610527,0.003299142223022014,0.33123387919141023,0.06322356187391279,0.026183192369983805,0.04843284640476528,0.06260459926857993,0.03773019015056085,0.11286065622938037,0.01973818083158109
21236-2020-01,Nottingham,MD,1335.0,38573.0,37.5,78659.0,11.0,340.0,10.0,326.0,43.0,0.3978,3113.0,219.0,0.5067534285640215,8195.0,11638.0,1290.0,0.04563684137740285,1.7890186761697353,0.16382978723404254,0.20851063829787234,0.5700101106991937,0.2383532522749073,0.17253000803670962,0.18616648951339018,0.07671216183280527,0.0021258393176574286,0.18549244290047442,0.09449615015684547,0.023513856842869364,0.012613981762917933,0.021850366477665608,0.024213828325512665,0.11603971690042257,0.005422861320984645
34207-2020-01,Bradenton,FL,1149.0,36738.0,44.6,37906.0,40.0,728.0,6387.0,169.0,0.0,0.4145,6964.0,352.0,0.4939299907452774,6611.0,6376.0,2696.0,0.07909258123850399,1.4298741929042136,0.21187394485087227,0.08223128868880135,0.46366160378899235,0.11609232946812564,0.08285698731558604,0.2760084925690021,0.22059662775616082,0.004763460177472916,0.07782132941368611,0.013827644400892809,0.23191246121182427,0.009285312324141813,0.03102391171060699,0.008655887636779356,0.12284283303391584,0.0038391699092088197
