RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later
12210-2018-09,Albany,NY,1083.0,9005.0,31.9,47219.0,0.0,380.0,0.0,334.0,12.0,0.5214,2253.0,1436.0,0.5117157134925041,1233.0,498.0,4583.0,0.02704135737009544,0.8573711546144627,0.28669767441860466,0.05804651162790698,0.6297612437534703,0.23553581343697946,0.16923931149361465,0.20666296501943365,0.1962106615285806,0.003331482509716824,0.4413103831204886,0.022765130483064965,0.09927817878956136,0.17172093023255813,0.008660303994344292,0.06563020544142144,0.0982787340366463,0.0
66614-2017-09,Topeka,KS,862.0,31315.0,39.7,54293.0,0.0,677.0,8.0,261.0,36.0,0.4033,2861.0,256.0,0.5275427111607855,6946.0,10227.0,1916.0,0.047354923361364584,1.7023381954115664,0.4277730291274903,0.044907620487869025,0.5026983873543031,0.21759540156474533,0.17531534408430466,0.1686092926712438,0.0828851841892982,0.005300973974133802,0.06102506785885359,0.024237585821491298,0.08226089733354622,0.007955815635478992,0.03572493588596648,0.10410346479323009,0.05990739262334344,0.0009411132024737832
17522-2018-09,Ephrata Township,PA,844.0,33628.0,38.3,55337.0,56.0,161.0,940.0,539.0,20.0,0.384,3340.0,419.0,0.5137385512073273,8385.0,9867.0,1453.0,0.04889309155634665,1.8139351376943107,0.32217205919237524,0.10208176573865062,0.5074640180801713,0.14612822647793505,0.08159866777685262,0.25535268228856906,0.019724628712871287,0.003181872249316046,0.015998572618056383,0.019656238848578565,0.045140953966932316,0.004640080260847755,0.04472132606519079,0.013292494349946473,0.07669204234566433,0.006652227722772277
20008-2019-09,Washington,DC,2127.0,29527.0,37.1,120342.0,1267.0,10602.0,0.0,1612.0,33.0,0.4946,1853.0,1519.0,0.5453991262234565,4691.0,3720.0,778.0,0.024970794392523366,0.9581064633911985,0.09690091663029245,0.1390768223483195,0.6483557422020524,0.25234531107122293,0.7444034273715582,0.019372100111762117,0.0938588344555375,0.0015578961628340163,0.07474514850814509,0.05584719070681072,0.13733193348460732,0.4645896988214753,0.07510708722741433,0.08375385240627223,0.10021336403969248,0.008996981657766428
84095-2014-09,South Jordan,UT,1067.0,51364.0,29.0,91612.0,97.0,451.0,35.0,67.0,40.0,0.3303,2068.0,246.0,0.4918230667393505,17689.0,12822.0,420.0,0.057595217900561414,2.33136051966799,0.22601467446828272,0.0998421101513885,0.49164784674090806,0.20640915816525193,0.12715131220309944,0.10010902577680866,0.048681680856907446,0.0018495444280040496,0.0030371466396698077,0.02067595981621369,0.05640137060976559,0.036546856134485,0.062320772244436363,0.02131843314383615,0.13793707655167042,0.021422686075254053
11694-2014-09,New York,NY,1781.0,21281.0,44.7,73893.0,403.0,2532.0,5.0,3297.0,0.0,0.444,1378.0,488.0,0.5118180536628918,3489.0,3819.0,2410.0,0.07682119205298013,1.2669308357348703,0.15302609661299277,0.41865630205441423,0.5525586203655843,0.20943564682110802,0.2214651567125605,0.16949391475964476,0.12786679233427584,0.0011747568253371553,0.06888774023777078,0.01799727456416522,0.14129975095155303,0.29083842309827873,0.038315988647114475,0.060664442460410695,0.007471453409144307,0.003036967221698607
59601-2019-09,Helena,MT,857.0,30611.0,41.6,54936.0,18.0,592.0,828.0,972.0,29.0,0.4434,4278.0,1290.0,0.5095553885858025,5432.0,9269.0,3354.0,0.031414237935977064,1.7033786748573936,0.678141932073477,0.025241178802695916,0.5373231844761687,0.2472640554049198,0.23076671784652575,0.14635261833981247,0.08030669895076675,0.018653425239293066,0.0051942112312567375,0.007121622945999804,0.03992029009179707,0.007532707810228624,0.05345198279980889,0.10829440397242822,0.13727091568390448,0.00867635189669088
6106-2018-09,Hartford,CT,1116.0,38010.0,30.2,28529.0,31.0,1931.0,0.0,1783.0,0.0,0.4959,13128.0,1036.0,0.5184688239936859,7784.0,3134.0,8427.0,0.16973451327433628,0.92367184676545,0.28796947478677243,0.11955708514140356,0.48855564325177586,0.07866350960273612,0.05916863983162326,0.1880294659300184,0.13025711950713523,0.012181004998684557,0.18242567745330177,0.028018942383583267,0.6067350697184951,0.15576836749962591,0.026784660766961652,0.09376479873717443,0.08039989476453564,0.0
10025-2017-09,New York,NY,3787.0,96068.0,40.3,74065.0,1598.0,27571.0,13.0,2015.0,29.0,0.5701,14911.0,6397.0,0.565776325103052,14911.0,566.0,3464.0,0.07988600845743703,0.2711478276877761,0.10377379153251418,0.23707208095144228,0.579839280509639,0.2388204188699671,0.4691780821917808,0.06973185660157388,0.09362811554906664,0.005183828121747096,0.0982741391514344,0.09189324228671358,0.22222800516300953,0.7274240532667499,0.05947784519213091,0.09639005704292793,0.05206728567264854,0.0
11365-2017-09,New York,NY,2210.0,45041.0,41.4,59520.0,333.0,1764.0,7.0,3914.0,0.0,0.4758,6295.0,444.0,0.5276969871894496,11234.0,6172.0,5295.0,0.0956461961503208,1.2250697792438467,0.12911228562183152,0.47049940675223817,0.5562487511378522,0.21700228680535513,0.17561777047578872,0.17375280300170956,0.03725418346158544,0.008858595501876069,0.059323727270708906,0.445616216336227,0.1994183077640372,0.3649552367597886,0.0192942254812099,0.05788059767767145,0.015741213560977775,0.0008550140466593379
